original_genome_id	old_speceis_names	speceis_names_fig2
saprochaete_clavata	Saprochaete_clavata	Saprochaete_clavata
yHMPu5000034974_deakozyma_indianensis_160519	yHMPu5000034974_Deakozyma_indianensis	Deakozyma_indianensis
clavispora_lusitaniae	Clavispora_lusitaniae	Clavispora_lusitaniae
yHMPu5000034999_cephaloascus_fragrans_160519	yHMPu5000034999_Cephaloascus_fragrans	Cephaloascus_fragrans
yHMPu5000034998_cephaloascus_albidus_160519	yHMPu5000034998_Cephaloascus_albidus	Cephaloascus_albidus
babjeviella_inositovora	Babjeviella_inositovora	Babjeviella_inositovora
candida_dubliniensis	Candida_dubliniensis	Candida_dubliniensis
candida_albicans	Candida_albicans	Candida_albicans
candida_parapsilosis	Candida_parapsilosis	Candida_parapsilosis
candida_homilentoma	Candida_homilentoma	Hyphopichia_homilentoma
candida_tropicalis	Candida_tropicalis	Candida_tropicalis
candida_orthopsilosis	Candida_orthopsilosis	Candida_orthopsilosis
candida_carpophila	Candida_carpophila	Candida_carpophila
candida_tanzawaensis	Candida_tanzawaensis	Suhomyces_tanzawaensis
candida_tenuis	Candida_tenuis	Yamadazyma_tenuis
yHMPu5000034632_candida_athensensis_160519	yHMPu5000034632_Candida_athensensis	Candida_athensensis
yHMPu5000035679_candida_rhagii_160613	yHMPu5000035679_Candida_rhagii	Candida_rhagii
yHMPu5000035681_candida_gotoi_160519	yHMPu5000035681_Candida_gotoi	Candida_gotoi
yHMPu5000034643_candida_schatavii_160519	yHMPu5000034643_Candida_schatavii	Candida_schatavii
yHMPu5000035031_candida_kruisii_160519	yHMPu5000035031_Candida_kruisii	Teunomyces_kruisii
yHMPu5000035302_candida_fragi_160928	yHMPu5000035302_Candida_fragi	Candida_fragi
debaryomyces_hansenii	Debaryomyces_hansenii	Debaryomyces_hansenii
yHMPu5000041713_debaryomyces_maramus_160928	yHMPu5000041713_Debaryomyces_maramus	Debaryomyces_maramus
yHMPu5000041693_debaryomyces_nepalensis_160928	yHMPu5000041693_Debaryomyces_nepalensis	Debaryomyces_nepalensis
yHMPu5000041829_debaryomyces_fabryi_160928	yHMPu5000041829_Debaryomyces_fabryi	Debaryomyces_fabryi
hyphopichia_burtonii	Hyphopichia_burtonii	Hyphopichia_burtonii
yHMPu5000035318_hyphopichia_heimii_160928	yHMPu5000035318_Hyphopichia_heimii	Hyphopichia_heimii
yHMPu5000035667_kurtzmaniella_cleridarum_160928	yHMPu5000035667_Kurtzmaniella_cleridarum	Kurtzmaniella_cleridarum
lodderomyces_elongisporus	Lodderomyces_elongisporus	Lodderomyces_elongisporus
meyerozyma_guilliermondii	Meyerozyma_guilliermondii	Meyerozyma_guilliermondii
yHMPu5000035665_middelhovenomyces_tepae_160613	yHMPu5000035665_Middelhovenomyces_tepae	Middelhovenomyces_tepae
millerozyma_acaciae	Millerozyma_acaciae	Millerozyma_acaciae
yHMPu5000034883_peterozyma_xylosa_160519	yHMPu5000034883_Peterozyma_xylosa	Peterozyma_xylosa
yHMPu5000034884_peterozyma_toletana_160519	yHMPu5000034884_Peterozyma_toletana	Peterozyma_toletana
